strain,growth_rate_ratio,mtdna_ratio,simulation_index,time,mean_h,nspl,ndau,ngen,startbud
WT and WT,1.0,0.4,1,13.35326679,0.27174072265625,5,11,14,32
WT and WT,1.0,0.4,1,14.8369631,0.27186279296875,5,11,14,32
WT and WT,1.0,0.4,1,16.32065941,0.2717437744140625,5,11,14,32
WT and WT,1.0,0.4,1,17.80435572,0.27138824462890626,5,11,14,32
WT and WT,1.0,0.4,1,19.28805203,0.27147445678710935,5,11,14,32
WT and WT,1.0,0.4,1,20.771748340000002,0.2715564727783203,5,11,14,32
WT and WT,1.0,0.3,0,0.0,0.21875,5,11,14,32
WT and WT,1.0,0.3,0,1.48369631,0.215625,5,11,14,32
WT and WT,1.0,0.3,0,2.96739262,0.23125,5,11,14,32
WT and WT,1.0,0.3,0,4.45108893,0.2359375,5,11,14,32
WT and WT,1.0,0.3,0,5.93478524,0.2421875,5,11,14,32
WT and WT,1.0,0.3,0,7.41848155,0.2330078125,5,11,14,32
WT and WT,1.0,0.3,0,8.90217786,0.229296875,5,11,14,32
WT and WT,1.0,0.3,0,10.385874170000001,0.23271484375,5,11,14,32
WT and WT,1.0,0.3,0,11.86957048,0.233642578125,5,11,14,32
WT and WT,1.0,0.3,0,13.35326679,0.232861328125,5,11,14,32
WT and WT,1.0,0.3,0,14.8369631,0.232415771484375,5,11,14,32
WT and WT,1.0,0.3,0,16.32065941,0.23271484375,5,11,14,32
WT and WT,1.0,0.3,0,17.80435572,0.2326446533203125,5,11,14,32
WT and WT,1.0,0.3,0,19.28805203,0.23247451782226564,5,11,14,32
WT and WT,1.0,0.3,0,20.771748340000002,0.23244819641113282,5,11,14,32
WT and WT,1.0,0.3,1,0.0,0.21875,5,11,14,32
WT and WT,1.0,0.3,1,1.48369631,0.23125,5,11,14,32
WT and WT,1.0,0.3,1,2.96739262,0.240625,5,11,14,32
WT and WT,1.0,0.3,1,4.45108893,0.24453125,5,11,14,32
WT and WT,1.0,0.3,1,5.93478524,0.246875,5,11,14,32
WT and WT,1.0,0.3,1,7.41848155,0.258984375,5,11,14,32
WT and WT,1.0,0.3,1,8.90217786,0.25556640625,5,11,14,32
WT and WT,1.0,0.3,1,10.385874170000001,0.25302734375,5,11,14,32
WT and WT,1.0,0.3,1,11.86957048,0.25546875,5,11,14,32
WT and WT,1.0,0.3,1,13.35326679,0.25452880859375,5,11,14,32
WT and WT,1.0,0.3,1,14.8369631,0.25555419921875,5,11,14,32
WT and WT,1.0,0.3,1,16.32065941,0.255303955078125,5,11,14,32
WT and WT,1.0,0.3,1,17.80435572,0.25562744140625,5,11,14,32
WT and WT,1.0,0.3,1,19.28805203,0.25572662353515624,5,11,14,32
WT and WT,1.0,0.3,1,20.771748340000002,0.25580291748046874,5,11,14,32
WT and WT,1.0,0.2,0,0.0,0.15625,5,11,14,32
WT and WT,1.0,0.2,0,1.48369631,0.165625,5,11,14,32
WT and WT,1.0,0.2,0,2.96739262,0.1734375,5,11,14,32
WT and WT,1.0,0.2,0,4.45108893,0.1671875,5,11,14,32
WT and WT,1.0,0.2,0,5.93478524,0.16796875,5,11,14,32
WT and WT,1.0,0.2,0,7.41848155,0.1640625,5,11,14,32
WT and WT,1.0,0.2,0,8.90217786,0.1625,5,11,14,32
WT and WT,1.0,0.2,0,10.385874170000001,0.16044921875,5,11,14,32
WT and WT,1.0,0.2,0,11.86957048,0.16201171875,5,11,14,32
WT and WT,1.0,0.2,0,13.35326679,0.162890625,5,11,14,32
WT and WT,1.0,0.2,0,14.8369631,0.16334228515625,5,11,14,32
WT and WT,1.0,0.2,0,16.32065941,0.1628509521484375,5,11,14,32
WT and WT,1.0,0.2,0,17.80435572,0.16251678466796876,5,11,14,32
WT and WT,1.0,0.2,0,19.28805203,0.16242828369140624,5,11,14,32
WT and WT,1.0,0.2,0,20.771748340000002,0.16240310668945312,5,11,14,32
WT and WT,1.0,0.2,1,0.0,0.15625,5,11,14,32
WT and WT,1.0,0.2,1,1.48369631,0.165625,5,11,14,32
WT and WT,1.0,0.2,1,2.96739262,0.146875,5,11,14,32
WT and WT,1.0,0.2,1,4.45108893,0.15390625,5,11,14,32
WT and WT,1.0,0.2,1,5.93478524,0.146875,5,11,14,32
WT and WT,1.0,0.2,1,7.41848155,0.1544921875,5,11,14,32
WT and WT,1.0,0.2,1,8.90217786,0.1556640625,5,11,14,32
WT and WT,1.0,0.2,1,10.385874170000001,0.156396484375,5,11,14,32
WT and WT,1.0,0.2,1,11.86957048,0.1564453125,5,11,14,32
WT and WT,1.0,0.2,1,13.35326679,0.15567626953125,5,11,14,32
